徽县	HYY
三合庄	SVP
刘家店	UDT
大安北	RNT
双城北	SBB
十家子	SJD
三家寨	SMM
商丘南	SPF
三十家	SRD
宿州东	SRH
安塘	ATV
太原	TYV
吴家川	WCJ
万发屯	WFB
吴家屯	WJT
下城子	XCB
咸宁北	XRN
元宝山	YUD
中宁东	ZDJ
中山北	ZGQ
中宁南	ZNJ
周家屯	ZOD
世博园	ZWT
双城堡	SCB
北安	BAB
巴山	BAY
保定	BDP
勃利	BLB
巴东	BNN
宝坻	BPP
包头	BTC
北台	BTT
北宅	BVP
博兴	BXK
北屯	BYP
坪石	PSQ
安口窑	AYY
嘎什甸子	GXD
刀尔登	DRD
崇信	CIJ
喇嘛甸	LMX
崇仁	CRG
八仙筒	VXD
吴官田	WGM
常州	CZH
崇左	CZZ
东安	DAZ
大巴	DBD
东台	DBH
大坝	DBJ
东光	DGP
东丰	DIL
代县	DKV
定南	DNG
大屯	DNT
大埔	DPI
东升	DRQ
大同	DTV
定州	DXP
大兴	DXX
大元	DYZ
临汾	LFV
临澧	LWQ
奈曼	NMD
宿松	OAH
大湾子	DFM
南湾子	NWP
东湾	DRJ
四方台	STB
巢湖	CIH
东方红	DFB
临湘	LXQ
东方	UFQ
塘沽	TGP
小河沿	XYD
南河川	NHJ
三河县	OXP
山河屯	SHL
小河镇	EKY
双河镇	SEL
临河	LHC
千河	QUY
唐河	THF
塔河	TXX
临沂北	UYK
临沂	LVK
午汲	WJP
子洲	ZZY
光泽	GZS
临泽	LEJ
宝泉岭	BQB
宁波东	NVH
太阳升	TQT
太阳山	TYJ
兴泉堡	XQJ
天桥岭	TQL
山海关	SHD
上板城南	OBP
富拉尔基	FRX
大杖子	DAP
东淤地	DBV
大武口	DFJ
东明县	DNF
东海县	DQH
北戴河	BEP
免渡河	MDX
冷水江东	UDQ
下板城	EBP
东明村	DMD
丰水村	FSJ
哈拉海	HIT
南杂木	NZT
小月旧	XFM
小扬气	XYX
宝拉格	BQC
大杨树	DUX
古浪	GLJ
宜昌东	HAN
光明城	IMQ
大旧庄	DJM
大战场	DTJ
天柱山	QWH
上板城	SBP
三江口	SKD
上海南	SNH
三江县	SOZ
天津北	TBP
天津南	TIP
土桥子	TQJ
孝感北	XJN
叶柏寿	YBD
周水子	ZIT
三十里堡	SST
巴楚	BCR
北海	BHZ
巴林	BLX
宝林	BNB
北流	BOZ
布海	BUT
克拉玛依	KHR
宣城	ECH
大板	DBC
大成	DCT
大涧	DFP
东海	DHB
东津	DKB
大林	DLD
大拟	DNZ
上海虹桥	AOH
小榄	EAQ
哈拉苏	HAX
三汇镇	OZW
信宜	EEQ
上海西	SXH
天津西	TXP
仙桃西	XAN
小新街	XXM
信丰	EFG
富海	FHX
古城镇	GZB
北滘	IBQ
全椒	INH
上杭	JBS
凌海	JID
吉林	JLL
吉文	JWX
兴凯	EKB
官厅西	KEP
兰州西	LAJ
六合镇	LEX
吕梁	LHV
六枝	LIW
廉江	LJZ
兰棱	LLB
临江	LQL
南昌	NCG
宁村	NCZ
嫩江	NGX
宁海	NHH
内江	NJW
南木	NMX
宁明	NMZ
南朗	NNQ
兴宁	ENQ
南桥	NQD
宁武	NWV
安溪	AXS
三源浦	SYL
凌源东	LDD
兰溪	LWH
土溪	TSW
富源	FYM
商洛	OLY
凌源	LYD
万源	WYY
勤丰营	QFM
东来	RVD
东戌	RXP
山城镇	SCL
十渡	SEP
上海	SHH
三水	SJQ
三明	SMS
太谷	TGV
天津	TJP
天水	TSJ
塔崖驿	TYP
临海	UFH
临清	UQK
中华门	VNH
威海	WKK
吴桥	WUP
卫星	WVB
兴和西	XEC
小村	XEM
夏官营	XGJ
孝感	XGN
宣汉	XHY
仙林	XPH
修武	XWF
宜春	YCG
宜昌	YCN
元氏	YSP
丰城	FCG
富川	FDZ
富县	FEY
奉化	FHH
冯屯	FTX
凤县	FXY
分宜	FYG
凤州	FZY
古东	GDV
官厅	GTP
华家	HJT
哈密	HMR
华山	HSY
化州	HZZ
巴中	IEW
姜家	JJB
巨宝	JRT
嘉善	JSH
嘉兴	JXH
奎山	KAB
六合	KLH
克东	KOB
口前	KQL
克山	KSB
喀什	KSR
奎屯	KTR
临川	LCG
利川	LCN
廊坊	LJP
兰州	LZJ
密山	MSB
勉县	MVY
宁安	NAB
南召	NAF
农安	NAT
南仇	NCK
南充	NCW
南华	NHS
南口	NKP
南宁	NNZ
南头	NOQ
南台	NTT
宁家	NVT
安亭北	ASH
北京东	BOP
东京城	DJB
小寺沟	ESP
公庙子	GMC
安康	AKY
南京南	NKH
坡底下	PXJ
安庆	AQH
北京北	VAP
北京南	VNP
北京	BJP
保康	BKD
城固	CGY
册亨	CHZ
常庄	CVK
东庄	DZV
大庆	DZX
东二道河	DRB
安庆西	APH
北京西	BXP
双丰	OFB
古交	GJV
宏庆	HEY
娄底	LDQ
密云	MUP
南京	NJH
商南	ONY
仙人桥	XRL
偏店	PRP
三亚	SEQ
师庄	SNM
宿州	OXH
延庆	YNP
安化	PKQ
前卫	QWD
前山	QXQ
全州	QZZ
大安	RAT
到保	RBT
任丘	RQP
三原	SAY
师宗	SEM
尚家	SJB
孙吴	SKB
兴业	SNZ
山市	SQB
商丘	SQF
孙家	SUB
上园	SUD
商城	SWN
上万	SWP
尚志	SZB
塔哈	THX
台安	TID
唐山	TSP
台前	TTK
同心	TXJ
台州	TZH
六安	UAH
冕宁	UGW
两家	UJT
吉安	VAG
华城	VCQ
中宁	VNJ
合川	WKW
万宁	WNQ
卫东	WVT
万州	WYW
吴圩	WYZ
小哨	XAM
兴安	XAZ
兴城	XCD
宣化	XHP
咸宁	XNN
孝南	XNV
小东	XOD
小市	XST
向塘	XTG
宣和	XWJ
宣威	XWM
忻州	XXV
姚安	YAC
园墩	YAJ
姚家	YAT
叶城	YER
宜城	YIN
延吉	YJL
偃师	YSF
宜州	YSZ
延安	YWY
兖州	YZK
咋子	ZAL
中和	ZHX
周口	ZKN
周家	ZOB
中山	ZSQ
壮志	ZUX
中卫	ZWJ
中寨	ZZM
大堡	DVT
三堂集	SDH
十堰	SNN
姜堰	UEH
吴堡	WUY
下社	XSV
大竹园	DZY
大石头	DSL
大石桥	DQT
大石寨	RZT
塔石嘴	TIM
夏石	XIZ
土牧尔台	TRC
大灰厂	DHP
大磴沟	DKJ
大王滩	DZZ
六盘水	UMW
南翔北	NEH
前磨头	QMP
北票南	RPD
六盘山	UPJ
坂田	BTQ
大盘石	RPP
大理	DKM
大田边	DBM
古田	GTS
嘉祥	JUK
墨玉	MUR
大红旗	DQD
凭祥	PXZ
七甸	QDM
如皋	RBH
双牌	SBZ
团结	TIX
天祝	TZJ
和田	VTR
威箐	WAM
中牟	ZGF
察素齐	CSC
八达岭	ILP
潼关	TGY
安达	ADX
潼南	TVW
东边井	DBB
定边	DYJ
漳平	ZPS
漳州东	GOS
漳州	ZUS
曾家坪子	ZBW
潘家店	PDP
施家嘴	SHM
宝龙山	BND
潮州	CKQ
漯河西	LBN
漯河	LON
松河	SBM
漫水湾	MKW
松江河	SJL
松江南	IMH
松江镇	OZL
松桃	MZQ
潜江	QJN
松江	SAH
松滋	SIN
松树镇	SSL
松树	SFT
潢川	KCN
澧县	LEQ
东辛庄	DXD
潞城	UTP
安龙	AUZ
松原	VYT
潍坊	WFK
施秉	AQW
汾阳	FAV
和龙	HLL
商都	SXC
卢龙	UAP
卫辉	WHF
漠河	MVX
湾沟	WGL
湘乡	XXQ
曹县	CXK
湘潭	XTQ
曹子里	CFP
湛江西	ZWQ
湟源	HNO
湛江	ZJZ
湖口	HKG
塘豹	TBQ
河口南	HKJ
河津	HJV
河源	VIQ
河唇	HCZ
河边	HBV
河间西	HXP
沙岭子	SLP
沈家河	OJJ
沙后所	SSD
沟帮子	GBD
沙坡头	SFJ
沧口	CKK
沧州	COP
沙湾县	SXR
沙河口	SKT
沙河市	VOP
沿河城	YHP
沙河	SHP
沙沱	SFM
沧州西	CBP
沐滂	MPQ
沙海	SED
沂水	YUK
沈家	OJB
沁县	QVV
沙县	SAS
沙城	SCP
沂南	YNK
治安	ZAD
吐鲁番	TFR
沃皮	WPT
沈阳北	SBT
沈阳东	SDT
沭阳	FMH
沁阳	QYF
沈阳	SYT
曲阜东	QAK
曲阜	QFK
曲靖	QJM
古莲	GRX
泽润里	ZLM
泽普	ZPR
安阳东	ADF
泉州东	QRS
泊头	BZP
柳园	DHR
泥河子	NHD
柳河	LNL
柳林南	LKV
泗水	OSK
泰来	TLX
柳树屯	LSD
柳州	LZZ
泰康	TKX
信阳东	OYN
泡子	POD
泉州	QYS
三阳川	SYJ
泰山	TAK
泰和	THG
泰安	TMK
泰州	UTH
安阳	AYF
博鳌	BWQ
城阳	CEK
东至	DCH
泉阳	QYL
发耳	FEM
凤阳	FUH
合阳	HAY
南阳	NFF
千阳	QOY
寿阳	SYV
向阳	XDB
信阳	XUN
咸阳	XYY
浮图峪	FYP
承德东	CCP
扶余北	FBT
武当山	WRN
承德	CDP
昌图	CTT
昌图西	CPT
新会	EFQ
景德镇	JCG
扶余	FYT
海伦	HLB
满归	MHX
枣强	ZVP
清徐	QUV
来宾	UBZ
新余	XUG
新干	EGG
昌平北	VBP
昌平	CPP
滦平	UPP
梁平	UQW
新乡东	EGF
土贵乌拉	TGC
永乐店	YDY
昌乐	CLK
新乐	ELP
朗乡	LXB
武义	RYH
桐乡	TCH
武乡	WVV
新乡	XXF
柴岗	CGT
温岭	VHH
杨岗	YRB
深圳东	BJQ
深圳北	IOQ
三门峡南	SCF
深圳西	OSQ
三门峡西	SXF
三门峡	SMF
深圳	SZQ
永安乡	YNB
横峰	HFG
毛坝关	MGY
敖力布告	ALD
李家坪	LIJ
淮安南	AMH
歪头山	WIT
北马圈子	BRP
查布嘎	CBC
永修	ACG
合肥北城	COH
滁州北	CUH
新坪田	XPM
水家湖	SQH
洪河	HPB
朱家沟	ZUB
成吉思汗	CJX
洪洞	HDV
正定机场	ZHP
桐子林	TEW
汪清	WQL
新帐房	XZX
渔坝村	YBM
抚州北	FBG
海安县	HIH
海口东	HMQ
淮南东	HOH
海坨子	HZT
济南东	JAK
晋城北	JEF
昆山南	KNH
普兰店	PLT
永州	AOQ
清华园	QHP
桑园子	SAJ
汤山城	TCT
滕州东	TEK
淮安	AUH
温州南	VRH
武夷山	WAS
渭南北	WBY
渭南南	WVY
武威南	WWJ
新安县	XAF
新保安	XAP
新华屯	XAX
新城子	XCT
新兴县	XGQ
杭州南	XHH
涿州东	ZAP
扎兰屯	ZTX
戚墅堰	QYH
八面城	BMD
八角台	BTD
板城	BUP
朱家窑	ZUJ
崔黄口	CHP
楚山	CSB
慈利	CUQ
滁州	CXH
大连北	DFT
大虎山	DHD
敦化	DHL
杜家	DJL
大陆号	DLC
东莞东	DMQ
东通化	DTL
大营子	DZD
新松浦	XOB
恩施	ESN
果松	GSL
春湾	CQQ
四道湾	OUD
普湾	PWT
海湾	RWH
濑湍	LVZ
汉沽	HGP
江油	JFW
滦河沿	UNP
斜河涧	EEP
六道河子	LVP
梅河口	MHL
清河城	QYP
柴河	CHB
清河门	QHD
浑河	HHT
清河	QIP
七里河	QLD
柴沟堡	CGV
大青沟	DSD
满洲里	MLX
寒葱沟	HKB
新沂	VIH
杨柳青	YQP
景泰	JTJ
暖泉	NQJ
水泉	SID
温泉	WQM
横道河子	HDB
明水河	MUT
打柴沟	DGJ
流水沟	USP
昂昂溪	AAX
朱杨溪	ZXW
新杖子	ERP
桂林北	GBZ
怀柔北	HBP
海拉尔	HRX
榆林	ALY
新安	EAM
明港东	MDN
清涧县	QNY
换新天	VTB
杨杖子	YZD
枝江北	ZIN
樟木头	ZOQ
朱日和	ZRC
柏果	BGM
滨江	BJB
江所田	JOM
晨明	CMB
昆明西	KXM
攀枝花	PRW
海宁西	EUH
新友谊	EYB
涪陵	FLW
桂林	GLZ
桦林	HIB
涵江	HJS
新化	EHQ
海林	HRB
怀柔	HRP
淮滨	HVN
海城西	HXT
济南西	JGK
夏邑县	EJH
晋江	JJS
江津	JJW
江桥	JQX
江永	JYZ
昆明	KMM
拉林	LAB
林海	LXX
明港	MGN
梅江	MKQ
民权	MQF
南观村	NGP
息县	ENN
本溪湖	BHT
本溪	BXT
汤旺河	THB
小路溪	XLM
棕溪	ZOY
济源	JYF
涟源	LAQ
涞源	LYP
林源	LYX
水源	OYJ
江源	SZL
李旺	VLJ
汉源	WHW
水洋	OYP
清水	QUJ
旗下营	QXC
三间房	SFX
水洞	SIL
桐柏	TBF
桃村	TCK
桐梓	TZW
武昌	WCN
温春	WDB
文昌	WEQ
文水	WEV
武汉	WHN
渭津	WJL
渭南镇	WNJ
武清	WWP
新江	XJM
新李	XLJ
新晃	XLQ
新民	XMD
兴隆县	EXP
新林	XPX
杨村	YBP
榆次	YCV
永济	YIV
杨林	YLM
永丰营	YYM
招柏	ZBP
枣林	ZIV
柞水	ZSY
桑根达来	OGC
杨树岭	YAD
榆树沟	YGP
渑池南	MNF
杏树屯	XDT
榆树屯	YSX
榆树台	YUT
樟树东	ZOG
梨树镇	LSB
渑池	MCF
汤池	TCX
桃映	TKQ
杏树	XSB
榆树	YRT
樟树	ZSG
抚宁	FNP
共青城	GAG
公营子	GYD
淮南	HAH
汉川	HCN
海城	HCT
海北	HEB
怀化	HHQ
汉口	HKN
桦南	HNB
海宁	HNH
汉中	HOY
淮北	HRH
怀仁	HRV
杭州	HZH
大英东	IAW
晋城	JCF
江华	JHZ
济宁	JIK
济南	JNK
江山	JUH
晋州	JXP
昆山	KSH
拉古	LGB
拉哈	LHX
李家	LJB
林口	LKB
梁山	LMK
安陆	ALN
林东	LRC
明安	MAC
毛坝	MBY
明城	MCL
明光	MGH
梅州	MOQ
宁陵县	NLF
洞庙河	DEP
梁底下	LDP
深井子	SWT
旧庄窝	JVP
月亮田	YUM
涉县	OEP
枣庄西	ZFK
什里店	OMP
三门县	OQH
永康	RFH
汕头	OTQ
水富	OTW
歙县	OVH
兴隆店	XDD
小西庄	XXP
枣庄	ZEK
深州	OZP
桥头	QAT
前苇塘	QWP
清原	QYT
汝州	ROF
温州	RZH
上腰墩	SPJ
双鸭山	SSB
朔州	SUV
桃山	TAB
土门子	TCJ
天门南	TNN
桐城	TTH
洮南	TVT
滕州	TXK
汤原	TYB
永嘉	URH
滦县	UXP
汉寿	VSQ
桓台	VTK
海口	VUQ
武安	WAP
文安	WBP
武功	WGY
卧里屯	WLX
渭南	WNY
文地	WNZ
武山	WSJ
武威	WUJ
梧州	WZZ
下马塘	XAT
新华	XHB
新和	XIR
厦门北	XKS
新县	XSN
下花园	XYP
汐子	XZD
永安	YAS
月山	YBF
永川	YCW
晏城	YEK
永定	YGS
扬州	YLH
攸县	YOG
一面坡	YPB
宜良北	YSM
一面山	YST
淄博	ZBK
枝城	ZCN
卓资东	ZDC
涿州	ZXP
卓资山	ZZC
一间堡	YJT
上虞	BDH
北营	BIV
宝鸡	BJY
汨罗东	MQQ
汨罗	MLQ
息烽	XFW
榆社	YSV
海石湾	HSO
李石寨	LET
汝箕沟	RQJ
新窝铺	EPD
新绰源	XRX
新立屯	XLD
林盛堡	LBT
敦煌	DHJ
新立镇	XGT
扶绥	FSZ
日照	RZK
文登	WBK
武穴	WXN
新绛	XJV
永登	YDJ
永福	YFZ
明珠	MFQ
东莞	DAQ
大苴	DIM
大连	DLT
东镇	DNV
东胜	DOC
东营	DPK
定陶	DQK
定西	DSJ
兑镇	DWV
定襄	DXV
大营	DYV
大雁	DYX
江边村	JBG
成都南	CNW
成都东	ICW
成都	CDW
海龙	HIL
密马龙	MMM
江都	UDH
望都	WDP
扎鲁特	ZLD
拉鲊	LEM
朝阳地	CDD
朝阳川	CYL
洛阳东	LDF
旬阳北	XBY
春阳	CAL
朝阳	CYD
洛阳龙门	LLF
朝阳镇	CZL
新阳镇	XZJ
涡阳	GYH
海阳	HYK
揭阳	JRQ
洛阳	LYF
汝阳	RYF
旬阳	XUY
枣阳	ZYN
木里图	MUD
成高子	CZB
浩良河	HHB
厦门高崎	XBS
八面通	BMB
正镶白旗	ZXC
昌黎	CLP
楚雄	COM
滴道	DDB
大营镇	DJP
扎赉诺尔西	ZXX
杨陵镇	YSY
抚远	FYB
汉阴	HQY
合肥西	HTH
江门	JWQ
洛门	LMJ
拉萨	LSO
林西	LXC
来舟	LZS
抚顺北	FET
抚顺	FST
旅顺	LST
上西铺	SXM
普雄	POW
清远	QBQ
前进镇	QEB
桥西	QXJ
上高镇	SVK
汤阴	TYF
定远	EWH
武隆	WLW
小雨谷	XHM
新青	XQB
新邱	XQD
悬钟	XRP
兴隆镇	XZB
新肇	XZT
永郎	YLW
昭通	ZDW
富锦	FIB
富裕	FYX
丰镇	FZC
古镇	GNQ
官高	GVP
合肥	HFH
和静	HJR
华蓥	HUW
吉首	JIQ
吉舒	JSL
巨野	JYK
凯里	KLW
兰考	LKF
临颍	LNF
南芬	NFT
南靖	NJS
南通	NUH
源潭	YTQ
溆浦	EPQ
安顺	ASW
源迁	AQK
三营	OEJ
旺苍	WEW
丰顺	FUQ
孙镇	OZY
前锋	QFB
全胜	QVB
七营	QYJ
上饶	SRG
天门	TMN
天镇	TZV
临西	UEP
倭肯	WQB
威舍	WSM
小董	XEZ
厦门	XMS
孝西	XOV
叶集	YCH
元谋	YMM
宜耐	YVM
子长	ZHY
格尔木	GRO
根河	GEX
株洲西	ZAQ
株洲	ZZQ
渠旧	QJZ
棠海	THM
惠州西	VXQ
浠水	XZN
惠州	HCQ
惠农	HMJ
池州	IYH
渠县	QRW
惠山	VCH
无锡新区	IFH
无锡东	WGH
渠黎	QLZ
无锡	WXH
亳州	BZH
云彩岭	ACP
库伦	KLD
庙岭	MLL
亚布力南	YWB
二密河	RML
五叉沟	WCT
建三江	JIB
井冈山	JGG
库尔勒	KLR
庙台子	MZB
云居寺	AFP
五台山	WSV
亚布力	YBB
建湖	AJH
五棵树	WKT
五大连池	WRB
建昌	JFD
建水	JSM
庐江	UJH
云梦	YMN
固安	GFP
固原	GUJ
固始	GXN
京山	JCN
井南	JNP
交城	JNV
建始	JRN
康城	KCP
庐山	LSG
庙城	MAP
井店	JFP
康庄	KZP
庙庄	MZJ
亭亮	TIZ
五五	WVR
庆安	QAB
庆丰	QFT
五常	WCB
五家	WUB
五原	WYC
五寨	WZV
应城	YHN
亮甲店	LRT
康熙岭	KXZ
建瓯	JVS
庆盛	QSQ
二龙山屯	ELA
亚龙湾	TWQ
库都尔	KDX
五龙背	WBT
建设	JET
库车	KCR
二龙	RLD
于都	YDG
五莲	WLK
庆阳山	QSJ
建阳	JYS
二道湾	RDX
五道河	WHP
二道沟门	RDP
五道沟	WDL
康金井	KJB
固镇	GEH
井陉	JJP
二连	RLC
二营	RYJ
五营	WWB
宋	SOB
加格达奇	JGX
冠豸山	GSS
狼尾山	LRJ
羊尾哨	YWM
罗平	LPM
白壁关	BGV
白山市	HJL
碾子山	NZX
白奎堡	BKB
白城	BCT
白河县	BEY
白河东	BIY
白河	BEL
白沙坡	BPM
白沙	BSW
白泉	BQL
百浪	BRZ
白水江	BSY
白涧	BAP
白旗	BQP
白水镇	BUM
罗江	LJW
美溪	MEB
罗源	LVS
琼海	QYQ
罗山	LRN
美兰	MHQ
白云鄂博	BEC
缙云	JYH
羊场	YED
羊堡	ABM
白狼	BAT
白石山	BAL
羊臼河	YHM
百色	BIZ
白音察干	BYC
白音他拉	BID
白音胡硕	BCD
白鸡坡	BBM
白银市	BNJ
白芨沟	BJJ
羊者窝	AEM
白银西	BXJ
羊草	YAB
繁峙	FSV
竹园坝	ZAW
禹城	YCK
精河南	JIR
精河	JHR
甲山	JOP
石岭	SOL
石岘	SXL
石峡子	SXJ
石家庄北	VVP
石家庄	SJP
石嘴山	SZJ
石河子	SZR
米沙子	MST
石泉县	SXY
石景山南	SRP
石林南	LNM
石桥子	SQT
米易	MMW
石林	SLM
石坝	OBJ
石人城	SRB
石人	SRL
石头	OTB
石山	SAD
石城	SCT
石磷	SPB
石龙	SLQ
石门县	OMQ
米脂	MEY
焦作东	WEF
索图罕	SHX
焦作	JOF
绥德	ODY
索伦	SNT
牡丹江	MDB
熊岳城	XYT
秦岭	QLY
王岗	WGB
燕岗	YGW
盘关	PAM
窑上	ASP
王家湾	WJJ
疏勒河	SHJ
盐城	AFH
福山口	FKP
福利屯	FTB
福州南	FYS
皇姑屯	HTT
牛心台	NXT
燕家庄	AZK
燕山	AOP
秦家庄	QZV
田师府	TFT
统军庄	TZP
王团庄	WZJ
瓢儿屯	PRT
祁东北	QRQ
绥中北	SND
王兆屯	WZB
祁家堡	QBT
牙屯堡	YTZ
磨刀石	MOB
牙克石	YKX
磁县	CIP
磁山	CSP
燕子砭	YZY
灯塔	DGT
甸心	DXM
甘河	GAX
登沙河	DWT
甘泉北	GEY
甘泉	GQY
福泉	VMW
玉泉	YQB
瓦拉干	WVX
笔架山	BSB
猛洞河	MUQ
盐津	AEW
甘旗卡	GQD
瓦房店西	WXT
瓦房店	WDT
碧江	BLQ
王家营西	KNM
福海	FHR
福清	FQS
盖州西	GAT
灌水	GST
经棚	JPC
灵武	LNJ
灵宝西	LPF
穆棱	MLB
绩溪县	JRH
玉溪	YXM
神木	OMY
磐安镇	PAJ
綦江	QJW
瑞昌	RCG
热水	RSD
绥棱	SIB
田林	TFZ
秀山	ETW
甘洛	VOW
王安镇	WVP
王杨	WYB
犀浦	XIW
玉林	YLZ
神池	SMV
神树	SWB
盐池	YKJ
福安	FAS
福州	FZS
皋兰	GEJ
盖州	GXT
瓜州	GZJ
稷山	JVV
灵宝	LBF
禄丰	LFM
灵丘	LVV
绿化	LWJ
立志	LZX
眉山	MSW
牛家	NJB
祥云	EXM
绅坊	OLH
王府	WUT
皮口	PKT
皮山	PSR
秦家	QJB
确山	QSN
祁县	QXV
瑞安	RAH
独山	RWW
神头	SEV
绥化	SHB
绍兴	SOH
疏勒	SUR
绥中	SZD
田东	TDZ
烟台	YAK
玉山	YNG
玉屏	YZW
牧羊村	MCM
灵石	LSV
磐石	PSL
王瞳	WTP
玉石	YSJ
秦皇岛	QTP
玉田县	ATP
瓦窑田	WIM
磁窑	CYK
独立屯	DTX
烟筒山	YSL
烟筒屯	YUX
班猫箐	BNM
照福铺	ZFM
玛纳斯湖	MNR
福鼎	FES
绕阳河	RHD
益阳	AEQ
祁阳北	QVQ
简阳	JYW
略阳	LYY
绵阳	MYW
绥阳	SYB
田阳	TRZ
紫阳	ZVY
碧鸡关	BJM
紫荆关	ZYP
绥芬河	SFB
火连寨	HLT
燕郊	AJP
甘草店	GDJ
盘锦北	PBD
秧草地	YKM
磁西	CRP
玉门镇	YXJ
甘谷	GGJ
织金	IZW
盘锦	PVD
祁门	QIH
瑞金	RJG
焉耆	YSR
红彦	VIX
红岘台	HTJ
纪家沟	VJD
红果	HEM
红江	HFM
红光镇	IGW
红兴隆	VHB
红星	VXB
红安西	VXN
红安	HWN
